articles
34 - r^2: 0.0173254585997, back_window: 9600, window: 13500, margin: 0.005
35 - r^2: 0.0246101145557, back_window: 31800, window: 8700, margin: 0.005
36 - r^2: 0.0312366449335, back_window: 2400, window: 18600, margin: 0.005
37 - r^2: 0.0448415975751, back_window: 27900, window: 21300, margin: 0.005
38 - r^2: 0.0152682489565, back_window: 27600, window: 5400, margin: 0.005
39 - r^2: 0.0143335668944, back_window: 7800, window: 13200, margin: 0.005
40 - r^2: 0.0846945182007, back_window: 42300, window: 15900, margin: 0.005
41 - r^2: 0.0178571630753, back_window: 25800, window: 4200, margin: 0.005
42 - r^2: 0.0629061649412, back_window: 38400, window: 15300, margin: 0.005
43 - r^2: 0.0512141892906, back_window: 21000, window: 21000, margin: 0.005
44 - r^2: 0.0558589097803, back_window: 35700, window: 14100, margin: 0.005
45 - r^2: 0.0407073251339, back_window: 30000, window: 14700, margin: 0.005
46 - r^2: 0.028130409704, back_window: 29100, window: 12300, margin: 0.005
47 - r^2: 0.0606871690683, back_window: 38400, window: 14400, margin: 0.005
48 - r^2: 0.0198693087578, back_window: 6300, window: 6900, margin: 0.005
49 - r^2: 0.0165476959894, back_window: 24300, window: 3300, margin: 0.005

