articles, LinearSVC(, window=1800, margin=0.004
13 - threshold: 2.665312677325619, score: 0.417913583194 (+/- 0.0325506352479), precision: 0.431273081355, recall: 0.417913583194, ~n_attr: 5646
14 - threshold: 2.0561683008695057, score: 0.424675738044 (+/- 0.0329344846292), precision: 0.438251129051, recall: 0.424675738044, ~n_attr: 9153
15 - threshold: 0.5547228644689537, score: 0.428618604281 (+/- 0.0389224585919), precision: 0.438289039268, recall: 0.428618604281, ~n_attr: 44823
16 - threshold: 1.7996902049573074, score: 0.429185963237 (+/- 0.0330617036766), precision: 0.44169698482, recall: 0.429185963237, ~n_attr: 11433
17 - threshold: 1.9331018977725276, score: 0.428343280019 (+/- 0.0306789320396), precision: 0.441853593997, recall: 0.428343280019, ~n_attr: 10180
18 - threshold: 2.81642294202343, score: 0.423551364685 (+/- 0.0343873652757), precision: 0.436162397431, recall: 0.423551364685, ~n_attr: 5114
19 - threshold: 0.3007547017423656, score: 0.426084188748 (+/- 0.037873206316), precision: 0.436255260067, recall: 0.426084188748, ~n_attr: 56419
20 - threshold: 1.821993585885111, score: 0.429185963237 (+/- 0.0327234246574), precision: 0.442136656442, recall: 0.429185963237, ~n_attr: 11170
21 - threshold: 0.30890935442595546, score: 0.426366674624 (+/- 0.0383638250456), precision: 0.436124846693, recall: 0.426366674624, ~n_attr: 56077
22 - threshold: 1.7153681137900958, score: 0.426365083154 (+/- 0.033365787667), precision: 0.438154508617, recall: 0.426365083154, ~n_attr: 12345
23 - threshold: 1.9612801690100197, score: 0.426650751969 (+/- 0.0324279293295), precision: 0.439423376905, recall: 0.426650751969, ~n_attr: 9920
24 - threshold: 0.32987383001020076, score: 0.42664597756 (+/- 0.0404379119121), precision: 0.436035862723, recall: 0.42664597756, ~n_attr: 55449
25 - threshold: 0.7005452957603593, score: 0.426358717275 (+/- 0.0393468102723), precision: 0.43606601172, recall: 0.426358717275, ~n_attr: 38475
26 - threshold: 0.6696886921187402, score: 0.428617808546 (+/- 0.038687749768), precision: 0.438814633761, recall: 0.428617808546, ~n_attr: 39804
27 - threshold: 2.058851669322765, score: 0.425239914061 (+/- 0.0335940230406), precision: 0.438628871288, recall: 0.425239914061, ~n_attr: 9141
28 - threshold: 0.744593779312747, score: 0.428330548261 (+/- 0.0404345749408), precision: 0.438065547501, recall: 0.428330548261, ~n_attr: 36545
29 - threshold: 1.3955485557375755, score: 0.425798519933 (+/- 0.0355564159538), precision: 0.436249363344, recall: 0.425798519933, ~n_attr: 16876
30 - threshold: 2.1337430674878473, score: 0.424109174823 (+/- 0.0353522339964), precision: 0.437867480141, recall: 0.424109174823, ~n_attr: 8593
31 - threshold: 2.046906545376965, score: 0.427208562107 (+/- 0.0346332043374), precision: 0.440967396101, recall: 0.427208562107, ~n_attr: 9249
32 - threshold: 0.21827324259091918, score: 0.426929259171 (+/- 0.0372036959621), precision: 0.436972729262, recall: 0.426929259171, ~n_attr: 58906
33 - threshold: 2.5411936920525493, score: 0.418477759211 (+/- 0.0330021137812), precision: 0.431410408543, recall: 0.418477759211, ~n_attr: 6189
34 - threshold: 0.4747336902375574, score: 0.428339301345 (+/- 0.0389442206655), precision: 0.437727094986, recall: 0.428339301345, ~n_attr: 48713
35 - threshold: 2.09017788330742, score: 0.424674146574 (+/- 0.0354248712396), precision: 0.438660010665, recall: 0.424674146574, ~n_attr: 8917
36 - threshold: 0.09654189659786372, score: 0.427773533859 (+/- 0.0390149062173), precision: 0.437837373723, recall: 0.427773533859, ~n_attr: 60794
37 - threshold: 1.687039477331203, score: 0.429467653378 (+/- 0.0321640465855), precision: 0.441627315376, recall: 0.429467653378, ~n_attr: 12683
38 - threshold: 0.9082072753511348, score: 0.428899498687 (+/- 0.040229985845), precision: 0.438534369999, recall: 0.428899498687, ~n_attr: 30170
39 - threshold: 2.8831413259199654, score: 0.420730484603 (+/- 0.0319067213008), precision: 0.433266197774, recall: 0.420730484603, ~n_attr: 4878
40 - threshold: 0.4872479213295259, score: 0.428903477361 (+/- 0.0389850368124), precision: 0.438233908115, recall: 0.428903477361, ~n_attr: 48197
41 - threshold: 2.0805821738283465, score: 0.424954245245 (+/- 0.0362441378844), precision: 0.438595204377, recall: 0.424954245245, ~n_attr: 8975
42 - threshold: 2.156729545398559, score: 0.423262512931 (+/- 0.0374681937996), precision: 0.437223407643, recall: 0.423262512931, ~n_attr: 8423
43 - threshold: 1.5674488551580321, score: 0.427773533859 (+/- 0.0368823564894), precision: 0.438740458286, recall: 0.427773533859, ~n_attr: 14175
44 - threshold: 1.6238368592108356, score: 0.429183576032 (+/- 0.0357821582516), precision: 0.440020842001, recall: 0.429183576032, ~n_attr: 13512
45 - threshold: 1.8099464594874748, score: 0.429465266173 (+/- 0.0348843546066), precision: 0.44181116566, recall: 0.429465266173, ~n_attr: 11312
46 - threshold: 2.638470971472717, score: 0.4181944776 (+/- 0.0334745324696), precision: 0.431808024188, recall: 0.4181944776, ~n_attr: 5760
47 - threshold: 1.6722052711846078, score: 0.430877695552 (+/- 0.0347630956134), precision: 0.441696160804, recall: 0.430877695552, ~n_attr: 12879
48 - threshold: 1.8661391852683429, score: 0.429186758972 (+/- 0.0325360930701), precision: 0.442031035857, recall: 0.429186758972, ~n_attr: 10752
49 - threshold: 1.2941518781469317, score: 0.426365083154 (+/- 0.035890425799), precision: 0.436478026668, recall: 0.426365083154, ~n_attr: 18883

articles, SelectFrom LinearSVC
0 - threshold: 0.0, score: 0.466981132075, precision: 0.472211922012, recall: 0.466981132075, ~n_attr: 77155
1 - threshold: 0.06666666666666667, score: 0.466981132075, precision: 0.471684658494, recall: 0.466981132075, ~n_attr: 40157
2 - threshold: 0.13333333333333333, score: 0.466981132075, precision: 0.472129699856, recall: 0.466981132075, ~n_attr: 23022
3 - threshold: 0.2, score: 0.468553459119, precision: 0.472264965481, recall: 0.468553459119, ~n_attr: 13925
4 - threshold: 0.26666666666666666, score: 0.465408805031, precision: 0.470006055251, recall: 0.465408805031, ~n_attr: 8951
5 - threshold: 0.3333333333333333, score: 0.463836477987, precision: 0.469057834197, recall: 0.463836477987, ~n_attr: 6270
6 - threshold: 0.4, score: 0.468553459119, precision: 0.472537022965, recall: 0.468553459119, ~n_attr: 4662
7 - threshold: 0.4666666666666667, score: 0.457547169811, precision: 0.461390887011, recall: 0.457547169811, ~n_attr: 3616
8 - threshold: 0.5333333333333333, score: 0.463836477987, precision: 0.468406479631, recall: 0.463836477987, ~n_attr: 2821
9 - threshold: 0.6, score: 0.468553459119, precision: 0.473410013058, recall: 0.468553459119, ~n_attr: 2236
10 - threshold: 0.6666666666666666, score: 0.463836477987, precision: 0.466111740476, recall: 0.463836477987, ~n_attr: 1799
11 - threshold: 0.7333333333333333, score: 0.460691823899, precision: 0.46415986218, recall: 0.460691823899, ~n_attr: 1477
12 - threshold: 0.8, score: 0.468553459119, precision: 0.471192921746, recall: 0.468553459119, ~n_attr: 1231
13 - threshold: 0.8666666666666667, score: 0.47641509434, precision: 0.480421751594, recall: 0.47641509434, ~n_attr: 1031
14 - threshold: 0.9333333333333333, score: 0.459119496855, precision: 0.463316311078, recall: 0.459119496855, ~n_attr: 885
15 - threshold: 1.0, score: 0.460691823899, precision: 0.471788657663, recall: 0.460691823899, ~n_attr: 773
16 - threshold: 1.0666666666666667, score: 0.455974842767, precision: 0.466166390816, recall: 0.455974842767, ~n_attr: 623
17 - threshold: 1.1333333333333333, score: 0.463836477987, precision: 0.474661288383, recall: 0.463836477987, ~n_attr: 533
18 - threshold: 1.2, score: 0.459119496855, precision: 0.472889333374, recall: 0.459119496855, ~n_attr: 461
19 - threshold: 1.2666666666666666, score: 0.437106918239, precision: 0.44467499974, recall: 0.437106918239, ~n_attr: 412
20 - threshold: 1.3333333333333333, score: 0.421383647799, precision: 0.425202859264, recall: 0.421383647799, ~n_attr: 361
21 - threshold: 1.4, score: 0.430817610063, precision: 0.435210725902, recall: 0.430817610063, ~n_attr: 319
22 - threshold: 1.4666666666666666, score: 0.432389937107, precision: 0.444753961462, recall: 0.432389937107, ~n_attr: 282
23 - threshold: 1.5333333333333334, score: 0.419811320755, precision: 0.423533870939, recall: 0.419811320755, ~n_attr: 247
24 - threshold: 1.6, score: 0.410377358491, precision: 0.418324073445, recall: 0.410377358491, ~n_attr: 217
25 - threshold: 1.6666666666666667, score: 0.416666666667, precision: 0.429836133645, recall: 0.416666666667, ~n_attr: 188
26 - threshold: 1.7333333333333334, score: 0.416666666667, precision: 0.428549664518, recall: 0.416666666667, ~n_attr: 174
27 - threshold: 1.8, score: 0.416666666667, precision: 0.429707235523, recall: 0.416666666667, ~n_attr: 153
28 - threshold: 1.8666666666666667, score: 0.419811320755, precision: 0.432335308425, recall: 0.419811320755, ~n_attr: 129
29 - threshold: 1.9333333333333333, score: 0.427672955975, precision: 0.437047185226, recall: 0.427672955975, ~n_attr: 112
30 - threshold: 2.0, score: 0.441823899371, precision: 0.445477964048, recall: 0.441823899371, ~n_attr: 100
31 - threshold: 2.066666666666667, score: 0.429245283019, precision: 0.429289532324, recall: 0.429245283019, ~n_attr: 85
32 - threshold: 2.1333333333333333, score: 0.407232704403, precision: 0.408254399571, recall: 0.407232704403, ~n_attr: 73
33 - threshold: 2.2, score: 0.38679245283, precision: 0.386471399218, recall: 0.38679245283, ~n_attr: 66
34 - threshold: 2.2666666666666666, score: 0.388364779874, precision: 0.386911133993, recall: 0.388364779874, ~n_attr: 59
35 - threshold: 2.3333333333333335, score: 0.366352201258, precision: 0.36373457469, recall: 0.366352201258, ~n_attr: 55
36 - threshold: 2.4, score: 0.36320754717, precision: 0.361884017264, recall: 0.36320754717, ~n_attr: 50
37 - threshold: 2.466666666666667, score: 0.356918238994, precision: 0.356213307907, recall: 0.356918238994, ~n_attr: 44
38 - threshold: 2.533333333333333, score: 0.352201257862, precision: 0.350618075557, recall: 0.352201257862, ~n_attr: 38
39 - threshold: 2.6, score: 0.375786163522, precision: 0.372373556703, recall: 0.375786163522, ~n_attr: 36
40 - threshold: 2.6666666666666665, score: 0.37106918239, precision: 0.367055286961, recall: 0.37106918239, ~n_attr: 33
41 - threshold: 2.7333333333333334, score: 0.366352201258, precision: 0.362049278897, recall: 0.366352201258, ~n_attr: 30
42 - threshold: 2.8, score: 0.36320754717, precision: 0.358729678266, recall: 0.36320754717, ~n_attr: 27
43 - threshold: 2.8666666666666667, score: 0.366352201258, precision: 0.363824952563, recall: 0.366352201258, ~n_attr: 23
44 - threshold: 2.933333333333333, score: 0.372641509434, precision: 0.371028143553, recall: 0.372641509434, ~n_attr: 20
45 - threshold: 3.0, score: 0.37106918239, precision: 0.373402834507, recall: 0.37106918239, ~n_attr: 17
46 - threshold: 3.066666666666667, score: 0.366352201258, precision: 0.367392529474, recall: 0.366352201258, ~n_attr: 16
47 - threshold: 3.1333333333333333, score: 0.37106918239, precision: 0.374640610961, recall: 0.37106918239, ~n_attr: 15
48 - threshold: 3.2, score: 0.369496855346, precision: 0.373297405788, recall: 0.369496855346, ~n_attr: 14
49 - threshold: 3.2666666666666666, score: 0.372641509434, precision: 0.376876355438, recall: 0.372641509434, ~n_attr: 13
50 - threshold: 3.3333333333333335, score: 0.372641509434, precision: 0.377782137662, recall: 0.372641509434, ~n_attr: 13
51 - threshold: 3.4, score: 0.358490566038, precision: 0.362168024037, recall: 0.358490566038, ~n_attr: 12
52 - threshold: 3.466666666666667, score: 0.360062893082, precision: 0.360886907143, recall: 0.360062893082, ~n_attr: 11
53 - threshold: 3.533333333333333, score: 0.360062893082, precision: 0.359676484934, recall: 0.360062893082, ~n_attr: 8
54 - threshold: 3.6, score: 0.361635220126, precision: 0.362252971509, recall: 0.361635220126, ~n_attr: 8
55 - threshold: 3.6666666666666665, score: 0.369496855346, precision: 0.371680656783, recall: 0.369496855346, ~n_attr: 8
56 - threshold: 3.7333333333333334, score: 0.361635220126, precision: 0.363739445529, recall: 0.361635220126, ~n_attr: 8
57 - threshold: 3.8, score: 0.352201257862, precision: 0.353667459822, recall: 0.352201257862, ~n_attr: 8
58 - threshold: 3.8666666666666667, score: 0.34748427673, precision: 0.3504717952, recall: 0.34748427673, ~n_attr: 8
59 - threshold: 3.933333333333333, score: 0.341194968553, precision: 0.339869397969, recall: 0.341194968553, ~n_attr: 7

